datetime,elec_value
2021-04-10 00:00:00,343.265
2021-04-10 01:00:00,355.261
2021-04-10 02:00:00,354.798
2021-04-10 03:00:00,369.989
2021-04-10 04:00:00,367.06
2021-04-10 05:00:00,371.003
2021-04-10 06:00:00,355.48
2021-04-10 07:00:00,342.159
2021-04-10 08:00:00,330.177
2021-04-10 09:00:00,349.873
2021-04-10 10:00:00,348.417
2021-04-10 11:00:00,353.794
2021-04-10 12:00:00,342.897
2021-04-10 13:00:00,349.888
2021-04-10 14:00:00,351.902
2021-04-10 15:00:00,348.936
2021-04-10 16:00:00,355.972
2021-04-10 17:00:00,391.995
2021-04-10 18:00:00,372.907
2021-04-10 19:00:00,369.934
2021-04-10 20:00:00,375.523
2021-04-10 21:00:00,376.117
2021-04-10 22:00:00,365.127
2021-04-10 23:00:00,363.244
2021-04-11 00:00:00,361.105
2021-04-11 01:00:00,368.61
2021-04-11 02:00:00,370.107
2021-04-11 03:00:00,368.373
2021-04-11 04:00:00,360.669
2021-04-11 05:00:00,356.533
2021-04-11 06:00:00,348.125
2021-04-11 07:00:00,334.002
2021-04-11 08:00:00,312.008
2021-04-11 09:00:00,322.566
2021-04-11 10:00:00,322.947
2021-04-11 11:00:00,324.642
2021-04-11 12:00:00,310.977
2021-04-11 13:00:00,328.421
2021-04-11 14:00:00,335.692
2021-04-11 15:00:00,333.96
2021-04-11 16:00:00,339.808
2021-04-11 17:00:00,364.748
2021-04-11 18:00:00,352.088
2021-04-11 19:00:00,360.429
2021-04-11 20:00:00,376.818
2021-04-11 21:00:00,384.377
2021-04-11 22:00:00,378.707
2021-04-11 23:00:00,373.375
2021-04-12 00:00:00,357.446
2021-04-12 01:00:00,361.73
2021-04-12 02:00:00,360.605
2021-04-12 03:00:00,366.921
2021-04-12 04:00:00,364.822
2021-04-12 05:00:00,363.45
2021-04-12 06:00:00,351.002
2021-04-12 07:00:00,332.084
2021-04-12 08:00:00,318.428
2021-04-12 09:00:00,327.552
2021-04-12 10:00:00,335.81
2021-04-12 11:00:00,338.092
2021-04-12 12:00:00,333.645
2021-04-12 13:00:00,343.352
2021-04-12 14:00:00,357.394
2021-04-12 15:00:00,343.529
2021-04-12 16:00:00,372.854
2021-04-12 17:00:00,394.337
